Timestamp,"How do you pronounce ""both""?",What city do you consider yourself to be from?,"What state, province, or official national region do you consider yourself to be from?",What country are you from?,What is your postal or zip code?,Do you have any comments?
3/9/2010 17:31:18,"both: rhymes with oath and there is no ""L"" sound",Denver,Colorado,United States,80204,
3/9/2010 17:31:18,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",indianapolis,IN,usa,75216,
3/9/2010 17:32:15,"both: rhymes with oath and there is no ""L"" sound",bethesda,maryland,usa,91941,
3/9/2010 17:33:10,"both: rhymes with oath and there is no ""L"" sound",Dallas,Texas,USA,75040,
3/9/2010 17:33:29,"both: rhymes with oath and there is no ""L"" sound",chicago,IL,USA,23608,
3/9/2010 17:33:42,"both: rhymes with oath and there is no ""L"" sound",Cleveland,Ohio,United States,6515,"Where I'm from is not the same as where I live now. Hence the zip code discrepancy.

44120 is where I grew up."
3/9/2010 17:33:45,"both: rhymes with oath and there is no ""L"" sound",Chicago,Midwest,United States,60613,"But I have a hard time not including a bit of an L sound in talk, stalk, and caulk."
3/9/2010 17:34:25,"both: rhymes with oath and there is no ""L"" sound",Baltimore,Maryland,USA,21210,My parents are from Pennsylvania so I don't necessarily sound like my friends from Balmer :-)
3/9/2010 17:36:47,"both: rhymes with oath and there is no ""L"" sound",omaha,Nebraska,USA,68104,
3/9/2010 17:37:43,"both: rhymes with oath and there is no ""L"" sound",Calexico,CA,United States de America,95521,
3/9/2010 17:38:28,"both: rhymes with oath and there is no ""L"" sound",Detroit,Michigan,USA,48103,
3/9/2010 17:39:34,"both: rhymes with oath and there is no ""L"" sound",Portland,OR,USA,98110,
3/9/2010 17:40:39,"both: rhymes with oath and there is no ""L"" sound",Pasadena,California,USA,94536,"Spent half my life in southern california, but have spent the second half (20 years each) in the SF Bay area. "
3/9/2010 17:41:09,"both: rhymes with oath and there is no ""L"" sound",Chicago,IL,USA,60035,
3/9/2010 17:41:36,"both: rhymes with oath and there is no ""L"" sound",New YOrk,NY,Barbados,94119,"My accent fluctates because I am an immigrant, but New York it self is very much an immigrant city, sounds odd.

That said, my original accent is most prevalent when I read out loud. There's something about the formality of reading that just brings it out ;-)"
3/9/2010 17:41:46,"both: rhymes with oath and there is no ""L"" sound",Hartford,Connecticut,USA,73026,
3/9/2010 17:42:17,"both: rhymes with oath and there is no ""L"" sound",Huntington,NY,USA,43215,
3/9/2010 17:42:40,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Council Bluffs,Iowa,United States,51503,
3/9/2010 17:43:38,"both: rhymes with oath and there is no ""L"" sound",Columbus,Ohio,USA,43209,
3/9/2010 17:44:58,"both: rhymes with oath and there is no ""L"" sound",St. Louis,Missouri,USA,63017,"I love your podcast! I'm a technical writer, so it not only entertains me, it makes me better at my job! Keep up the great work!"
3/9/2010 17:45:03,"both: rhymes with oath and there is no ""L"" sound",Buffalo,Pennsylvania,USA,53149,
3/9/2010 17:46:00,"both: rhymes with oath and there is no ""L"" sound",Louisville,Kentucky,US,40205,
3/9/2010 17:46:59,"both: rhymes with oath and there is no ""L"" sound",Arlington ,Texas,United States,76012,
3/9/2010 17:47:10,"both: rhymes with oath and there is no ""L"" sound",New York,New York,USA,10022,
3/9/2010 17:47:16,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Annapolis,Maryland,United States,19130,"I lived in Annapolis for 17 years, but haven't lived there in 15 - amazing how I've still hung on to little speech things like that. Can't wait to see the results of this survey!"
3/9/2010 17:49:00,"both: rhymes with oath and there is no ""L"" sound",Wellesley,Texas,USA,75206,
3/9/2010 17:50:30,"both: rhymes with oath and there is no ""L"" sound",Desdemona,Texas,US,76445,"I have always said ""both"" as in ""oaf,"" but when I came to college, it seemed like everyone was saying ""boLth."" I was so surprised!"
3/9/2010 17:50:38,"both: rhymes with oath and there is no ""L"" sound",San Diego,Southern California,U.S.A.,92117,
3/9/2010 17:52:07,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Dallas,Texas,Usa,75231,I had never considered this nuance of my pronunciation!
3/9/2010 17:52:22,"both: rhymes with oath and there is no ""L"" sound",Lafayette,IN,usa,47909,
3/9/2010 17:53:15,"both: rhymes with oath and there is no ""L"" sound",seattle,Washington,u.s.,98122,
3/9/2010 17:53:17,"both: rhymes with oath and there is no ""L"" sound",Brisbane,NY,USA,46234,I have lived all over the world so my accent is influenced by lots of places...
3/9/2010 17:55:38,"both: rhymes with oath and there is no ""L"" sound",Seattle,West,USA,98110,
